dateCaptured,airTempSensationOne,airHumSensationOne,airTempOne,airHumOne,earthTempOne,earthHumOne,lightOne,airTempSensationTwo,airHumSensationTwo,airTempTwo,airHumTwo,earthTempTwo,earthHumTwo,lightTwo,airTempSensationThree,airHumSensationThree,airTempThree,airHumThree,earthTempThree,earthHumThree,lightThree,airTempSensationFour,airHumSensationFour,airTempFour,airHumFour,earthTempFour,earthHumFour,lightFour,airTempSensationFive,airHumSensationFive,airTempFive,airHumFive,earthTempFive,earthHumFive,lightFive,statusCloud,timeSent
11/9/2020 21:31:44,9.33396,9.33396,9.7,99.9,13.6875,28.122,0,10.2009,10.2009,10.5,99.4,14.875,7.44063,0,9.55396,9.55396,9.9,99.9,14.3125,9.33086,0,9.44396,9.44396,9.8,99.9,14.5625,13.3426,0,8.23397,8.23397,8.7,99.9,13.625,12.39,0,false,11/9/2020 21:31:44
11/9/2020 22:2:20,9.33396,9.33396,9.7,99.9,13.5625,27.116,0,9.76351,9.76351,10.1,99.5,14.8125,7.87381,0,9.77396,9.77396,10.1,99.9,14.1875,8.98436,0,9.66396,9.66396,10,99.9,14.4375,13.1541,0,9.11396,9.11396,9.5,99.9,13.5625,12.2425,0,false,11/9/2020 22:2:20
11/9/2020 22:32:56,9.99396,9.99396,10.3,99.9,13.4375,26.2687,0,9.43352,9.43352,9.8,99.5,14.6875,7.74611,0,10.324,10.324,10.6,99.9,14.125,8.89515,0,9.55396,9.55396,9.9,99.9,14.1875,13.1261,0,10.7639,10.7639,11,99.9,13.4375,12.1695,0,false,11/9/2020 22:32:56
12/9/2020 21:15:35,10.324,10.324,10.6,99.9,14.1875,30.4618,0,9.93912,9.93912,10.3,97.8,15.875,8.55972,0,10.214,10.214,10.5,99.9,14.875,22.7829,0,10.8739,10.8739,11.1,99.9,15.5625,19.1078,0,11.2039,11.2039,11.4,99.9,13.9375,12.1117,0,false,12/9/2020 21:15:35
13/9/2020 15:38:40,19.9119,19.9119,20,71.1,13.6875,29.3799,5589.17,32.0133,32.0133,29.3,62.7,15.4375,17.9708,10025,21.2638,21.2638,21.4,63.9,14.9375,37.9757,3322.5,19.8064,19.8064,19.7,79.7,16,19.0829,6481.67,24.0824,24.0824,24.1,58.1,13.3125,9.71537,4290.83,false,13/9/2020 15:38:40
13/9/2020 16:8:4,17.6534,17.6534,17.7,81.5,13.8125,30.4392,4632.5,19.0181,19.0181,19,79,15.5625,18.5415,3915.83,16.3439,16.3439,16.5,81.9,15.125,38.9235,3093.33,17.7546,17.7546,17.5,93.8,16.25,19.9652,6280.83,17.2843,17.2843,17.4,80,13.5625,10.1913,3519.17,false,13/9/2020 16:8:4
13/9/2020 16:37:48,15.7041,15.7041,15.7,91.1,14,31.0952,923.333,17.7318,17.7318,17.7,84.5,15.6875,18.997,3902.5,17.0874,17.0874,17.1,85.1,15.1875,39.3958,3787.5,16.5939,16.5939,16.3,99.9,16.375,20.1067,1109.17,16.6918,16.6918,16.7,86.8,13.6875,10.3722,4007.5,false,13/9/2020 16:37:48
13/9/2020 17:7:30,14.4886,14.4886,14.5,95.1,14.125,31.3956,2348.33,16.8567,16.8567,16.8,88.9,15.8125,19.0711,3387.5,15.9819,15.9819,16,89.1,15.375,40.0694,2965.83,15.0539,15.0539,14.9,99.9,16.4375,20.2383,2549.17,15.5651,15.5651,15.5,94.2,13.8125,10.5697,2939.17,false,13/9/2020 17:7:30
13/9/2020 17:37:23,13.3439,13.3439,13.4,97.6,14.1875,31.3722,615.833,13.4363,13.4363,13.7,88.5,15.8125,18.7795,2557.5,15.0493,15.0493,15.1,91.3,15.375,40.5704,2809.17,13.9539,13.9539,13.9,99.9,16.25,20.0815,660.833,15.3842,15.3842,15.3,95.7,13.875,10.7008,2668.33,false,13/9/2020 17:37:23
13/9/2020 18:7:18,13.3439,13.3439,13.4,97.6,14.1875,31.3722,615.833,12.192,12.192,12.5,91.4,15.875,18.8103,685.833,12.3359,12.3359,12.6,92.7,15.4375,41.1284,210,11.7539,11.7539,11.9,99.9,16.25,20.0588,2.91667,12.5239,12.5239,12.6,99.9,13.9375,10.7021,185,false,13/9/2020 18:7:18
